finding_id,source,service,description,severity,asset,asset_criticality,exposure,data_sensitivity,owner,status,remediation,control_id
F-001,AWS Security Hub,S3,S3 bucket publicly accessible with no encryption at rest,Critical,prod-data-bucket-01,High,Internet,PII,Cloud Security Team,Open,Enable S3 bucket encryption and remove public access block exemptions,CC6.1
F-002,AWS Security Hub,IAM,Root account used for daily operations – MFA not enforced,Critical,AWS Root Account,High,Internet,Confidential,IAM Admin Team,Open,Enable MFA on root account and create least-privilege IAM roles for daily use,CC6.3
F-003,Prisma Cloud,EC2,EC2 instance running outdated kernel with known RCE vulnerability (CVE-2023-3269),Critical,prod-web-server-12,High,Internet,PII,DevOps Team,In Progress,Patch kernel to latest stable version; schedule maintenance window,SI-2
F-004,Wiz,RDS,RDS PostgreSQL instance not encrypted and publicly accessible via 0.0.0.0/0,Critical,prod-db-rds-01,High,Internet,PII,DBA Team,Open,Enable RDS encryption; restrict security group to VPC CIDR only,SC-28
F-005,AWS Security Hub,Lambda,Lambda function with overly permissive IAM role (AdministratorAccess),High,billing-lambda-fn,High,Internal,Confidential,AppDev Team,Open,Apply least-privilege IAM policy scoped to required actions only,AC-6
F-006,Prisma Cloud,EKS,Kubernetes dashboard exposed publicly without authentication,High,eks-prod-cluster,High,Internet,Confidential,Platform Engineering,Open,Disable public dashboard; enforce RBAC and restrict access to VPN only,AC-17
F-007,Wiz,CloudTrail,CloudTrail logging disabled in us-west-2 region,High,AWS Account (us-west-2),Medium,Internal,Confidential,Cloud Security Team,Open,Enable CloudTrail in all regions with log file validation enabled,AU-2
F-008,AWS Config,Security Groups,Security group allows unrestricted SSH (port 22) from 0.0.0.0/0,High,dev-bastion-sg,Medium,Internet,Public,Network Team,Open,Restrict SSH access to corporate IP ranges or deploy a bastion host,SC-7
F-009,Prisma Cloud,S3,S3 bucket versioning disabled on backup storage,Medium,backup-archive-bucket,Medium,Internal,Confidential,Cloud Security Team,Open,Enable versioning on all S3 buckets storing backups or sensitive data,CP-9
F-010,AWS Security Hub,GuardDuty,GuardDuty finding: unusual API calls from unfamiliar geolocation (Russia),Medium,AWS API Gateway,High,Internet,Confidential,SOC Team,In Progress,Investigate API call origin; implement geo-blocking and alert rules,IR-4
F-011,Wiz,ECS,ECS container running as root user,Medium,api-container-service,Medium,Internal,PII,AppDev Team,Open,Update container task definition to use non-root user,CM-6
F-012,Prisma Cloud,VPC,VPC Flow Logs not enabled in production VPC,Medium,prod-vpc-01,High,Internal,Confidential,Network Team,Open,Enable VPC Flow Logs and ship to centralized SIEM,AU-12
F-013,AWS Config,CloudFormation,CloudFormation stack using hardcoded secrets in template parameters,Medium,infra-cfn-stack,Medium,Internal,Confidential,DevOps Team,Open,Migrate secrets to AWS Secrets Manager or Parameter Store with encryption,IA-5
F-014,Wiz,SNS,SNS topic allows cross-account publishing with no resource policy,Medium,alerts-sns-topic,Low,Internal,Public,AppDev Team,Open,Apply resource-based policy restricting publishers to known AWS account IDs,AC-3
F-015,AWS Security Hub,EBS,EBS volume snapshots publicly shared,High,prod-app-ebs-vol,High,Internet,PII,Cloud Security Team,Open,Remove public sharing from all EBS snapshots; audit snapshot permissions,SC-28
F-016,Prisma Cloud,ECR,ECR image with critical CVE in base image (log4j – CVE-2021-44228),Critical,ecr-app-registry,High,Internal,Confidential,AppDev Team,In Progress,Rebuild container image using patched base image; scan with ECR image scanning,SI-3
F-017,AWS Config,IAM,IAM password policy does not enforce complexity requirements,Low,AWS IAM Policy,Low,Internal,Public,IAM Admin Team,Open,Update IAM account password policy to enforce length complexity and rotation,IA-5
F-018,Wiz,Secrets Manager,Unused IAM access key active for 180+ days,Low,dev-svc-account,Low,Internal,Public,IAM Admin Team,Open,Deactivate and delete unused access keys; enforce 90-day rotation policy,IA-5
F-019,Prisma Cloud,EC2,EC2 instance with IMDSv1 enabled (SSRF risk),Medium,staging-app-server,Medium,Internal,Confidential,DevOps Team,Open,Enforce IMDSv2 on all EC2 instances using instance metadata options,SC-18
F-020,AWS Security Hub,Config,AWS Config recorder not enabled in all regions,Low,AWS Config (global),Low,Isolated,Public,Cloud Security Team,Open,Enable AWS Config recorder in all active regions for continuous compliance monitoring,CA-7
